date,priceArea,prod_quantityKwh_sum,prod_quantityKwh_mean,cons_quantityKwh_sum,cons_quantityKwh_mean,cons_countMeteringPoints_sum,net_quantityKwh_sum
2025-11-12,NO5,70750124.015,491320.30565972225,46018945.956,383491.21630000003,0.0,24731178.059
2025-11-13,NO1,69514595.20899999,579288.2934083332,100509883.153,837582.3596083333,0.0,-30995287.944000006
2025-11-13,NO2,133335427.584,1111128.5632,103691719.293,864097.660775,0.0,29643708.29100001
2025-11-13,NO3,77145180.072,642876.5006,88783092.791,739859.1065916666,0.0,-11637912.718999997
2025-11-13,NO4,79560827.938,663006.8994833332,62482406.956,520686.72463333333,0.0,17078420.981999993
2025-11-13,NO5,82746135.585,574625.9415625,49227637.465,410230.31220833334,0.0,33518498.11999999
2025-11-14,NO1,72111100.117,600925.8343083333,113712233.755,947601.9479583333,0.0,-41601133.638
2025-11-14,NO2,190527629.037,1587730.241975,108508705.538,904239.2128166667,0.0,82018923.499
2025-11-14,NO3,70343397.48200001,586194.9790166668,91212121.063,760101.0088583332,0.0,-20868723.580999985
2025-11-14,NO4,95796233.065,798301.9422083333,63942092.046000004,532850.76705,0.0,31854141.018999994
2025-11-14,NO5,109966515.977,763656.3609513888,50640307.035,422002.55862499995,0.0,59326208.942
2025-11-15,NO1,68874081.833,573950.6819416668,111079742.476,925664.5206333332,0.0,-42205660.64299999
2025-11-15,NO2,170143486.483,1417862.3873583334,106497197.519,887476.6459916666,0.0,63646288.96400002
2025-11-15,NO3,95267582.855,793896.5237916667,87722692.448,731022.4370666667,0.0,7544890.407000005
2025-11-15,NO4,85747552.59,714562.93825,60429469.807,503578.9150583333,0.0,25318082.783000007
2025-11-15,NO5,93955440.415,652468.3362152778,50303314.383,419194.286525,0.0,43652126.032000005
2025-11-16,NO1,67412837.607,561773.646725,107789921.721,898249.347675,0.0,-40377084.11400001
2025-11-16,NO2,193743596.633,1614529.9719416664,103902374.426,865853.1202166666,0.0,89841222.20699999
2025-11-16,NO3,90290226.918,752418.55765,86488361.006,720736.3417166666,0.0,3801865.9120000005
2025-11-16,NO4,92074832.8,767290.2733333333,60897240.851,507477.0070916667,0.0,31177591.948999994
2025-11-16,NO5,99862080.329,693486.6689513889,48839131.457,406992.76214166667,0.0,51022948.871999994
2025-11-17,NO1,65561327.295,546344.394125,119734988.122,997791.5676833333,0.0,-54173660.82699999
2025-11-17,NO2,194018339.941,1616819.4995083334,110527863.333,921065.5277750001,0.0,83490476.60800001
2025-11-17,NO3,89065859.348,742215.4945666667,90395172.331,753293.1027583333,0.0,-1329312.9829999954
2025-11-17,NO4,99998641.969,833322.0164083333,62873513.744,523945.9478666667,0.0,37125128.224999994
2025-11-17,NO5,96395450.015,669412.8473263889,51761270.045,431343.9170416667,0.0,44634179.97
2025-11-18,NO1,64546979.58,537891.4965,122380281.66,1019835.6805,0.0,-57833302.08
2025-11-18,NO2,198680775.46199998,1655673.1288499997,113018131.721,941817.7643416667,0.0,85662643.74099998
2025-11-18,NO3,81538114.009,679484.2834083333,89273766.951,743948.0579250001,0.0,-7735652.942000002
2025-11-18,NO4,101858296.167,848819.134725,63966269.048,533052.2420666667,0.0,37892027.118999995
2025-11-18,NO5,98341947.669,682930.1921458333,52198396.271,434986.6355916666,0.0,46143551.398
2025-11-19,NO1,66185757.561,551547.979675,126441816.122,1053681.8010166667,0.0,-60256058.561
2025-11-19,NO2,200200226.652,1668335.2221000001,118174089.056,984784.0754666666,0.0,82026137.59600002
2025-11-19,NO3,80334280.511,669452.3375916667,90937977.876,757816.4823,0.0,-10603697.364999995
2025-11-19,NO4,102819931.78,856832.7648333333,64070439.973,533920.3331083333,0.0,38749491.807000004
2025-11-19,NO5,101286257.10700001,703376.7854652778,54123230.446,451026.92038333334,0.0,47163026.661000006
2025-11-20,NO1,66641490.457,555345.7538083333,134786770.424,1123223.0868666666,0.0,-68145279.967
2025-11-20,NO2,202619332.582,1688494.4381833333,121189706.949,1009914.224575,0.0,81429625.63299999
2025-11-20,NO3,81445483.889,678712.3657416666,93259716.975,777164.308125,0.0,-11814233.085999995
2025-11-20,NO4,100225170.633,835209.755275,65143158.781,542859.6565083334,0.0,35082011.852
2025-11-20,NO5,104022879.937,722381.1106736112,55340569.724,461171.41436666664,0.0,48682310.21300001
2025-11-21,NO1,55324748.557000004,481084.7700608696,128008128.086,1113114.1572695652,0.0,-72683379.52899998
2025-11-21,NO2,197122342.461,1714107.3257478261,115794957.85800001,1006912.6770260871,0.0,81327384.60299999
2025-11-21,NO3,80191518.153,697317.5491565217,90102946.839,783503.8855565217,0.0,-9911428.686000004
2025-11-21,NO4,94993299.321,826028.6897478261,62296887.649000004,541712.0665130435,0.0,32696411.67199999
2025-11-21,NO5,105368147.251,763537.2989202898,53446270.456,464750.17787826085,0.0,51921876.795
