date,priceArea,productionGroup,quantityKwh_sum,quantityKwh_mean
2025-10-30,NO2,WIND,2224162.514,92673.43808333333
2025-10-30,NO3,HYDRO,74854709.7,3118946.2375000003
2025-10-30,NO3,OTHER,1313.172,54.7155
2025-10-30,NO3,SOLAR,9712.084,404.6701666666667
2025-10-30,NO3,THERMAL,483456.94,20144.039166666666
2025-10-30,NO3,WIND,3536468.566,147352.85691666667
2025-10-30,NO4,HYDRO,88997862.2,3708244.2583333333
2025-10-30,NO4,OTHER,479.66,19.985833333333336
2025-10-30,NO4,SOLAR,140.458,5.852416666666667
2025-10-30,NO4,THERMAL,5526870.0,230286.25
2025-10-30,NO4,WIND,5864786.03,244366.08458333334
2025-10-30,NO5,*,17.99,0.7495833333333333
2025-10-30,NO5,HYDRO,78921048.5,3288377.0208333335
2025-10-30,NO5,OTHER,161.455,6.727291666666667
2025-10-30,NO5,SOLAR,18496.551,770.689625
2025-10-30,NO5,THERMAL,404993.182,16874.715916666664
2025-10-30,NO5,WIND,1.8800000000000001,0.07833333333333334
2025-10-31,NO1,HYDRO,63727296.4,2655304.0166666666
2025-10-31,NO1,OTHER,2039.387,84.97445833333333
2025-10-31,NO1,SOLAR,59932.657,2497.1940416666666
2025-10-31,NO1,THERMAL,142763.059,5948.460791666667
2025-10-31,NO1,WIND,1578185.033,65757.70970833334
2025-10-31,NO2,HYDRO,132094108.0,5503921.166666667
2025-10-31,NO2,OTHER,1793.677,74.73654166666667
2025-10-31,NO2,SOLAR,24508.826999999997,1021.2011249999999
2025-10-31,NO2,THERMAL,371379.365,15474.140208333332
2025-10-31,NO2,WIND,25716381.35,1071515.8895833334
2025-10-31,NO3,HYDRO,67856182.8,2827340.9499999997
2025-10-31,NO3,OTHER,1088.643,45.360125000000004
2025-10-31,NO3,SOLAR,3181.427,132.55945833333334
2025-10-31,NO3,THERMAL,512463.62,21352.650833333333
2025-10-31,NO3,WIND,23248633.853,968693.0772083333
2025-10-31,NO4,HYDRO,79489151.7,3312047.9875000003
2025-10-31,NO4,OTHER,546.04,22.751666666666665
2025-10-31,NO4,SOLAR,257.00600000000003,10.708583333333335
2025-10-31,NO4,THERMAL,5711511.0,237979.625
2025-10-31,NO4,WIND,5127064.32,213627.68000000002
2025-10-31,NO5,*,0.027,0.001125
2025-10-31,NO5,HYDRO,85720157.2,3571673.216666667
2025-10-31,NO5,OTHER,13.079,0.5449583333333333
2025-10-31,NO5,SOLAR,1147.413,47.808875
2025-10-31,NO5,THERMAL,357513.727,14896.405291666668
2025-10-31,NO5,WIND,0.146,0.006083333333333333
2025-11-01,NO1,HYDRO,59275629.3,2469817.8874999997
2025-11-01,NO1,OTHER,1893.334,78.88891666666667
2025-11-01,NO1,SOLAR,14694.19,612.2579166666667
2025-11-01,NO1,THERMAL,246810.91999999998,10283.788333333332
2025-11-01,NO1,WIND,3579637.0130000003,149151.54220833335
2025-11-01,NO2,HYDRO,89313678.6,3721403.275
2025-11-01,NO2,OTHER,1071.849,44.660374999999995
2025-11-01,NO2,SOLAR,3744.973,156.04054166666666
2025-11-01,NO2,THERMAL,358460.128,14935.838666666668
2025-11-01,NO2,WIND,26590470.38,1107936.2658333334
2025-11-01,NO3,HYDRO,58426981.5,2434457.5625
2025-11-01,NO3,OTHER,3798.045,158.251875
2025-11-01,NO3,SOLAR,3638.419,151.60079166666665
2025-11-01,NO3,THERMAL,544290.7,22678.779166666664
2025-11-01,NO3,WIND,34862592.7,1452608.0291666668
2025-11-01,NO4,HYDRO,62808243.6,2617010.15
2025-11-01,NO4,OTHER,772.4839999999999,32.18683333333333
2025-11-01,NO4,SOLAR,122.443,5.101791666666666
2025-11-01,NO4,THERMAL,5689008.0,237042.0
2025-11-01,NO4,WIND,14615146.65,608964.44375
2025-11-01,NO5,*,0.0,0.0
2025-11-01,NO5,HYDRO,54705860.800000004,2279410.8666666667
2025-11-01,NO5,OTHER,1063.8139999999999,44.32558333333333
2025-11-01,NO5,SOLAR,809.292,33.7205
2025-11-01,NO5,THERMAL,354189.978,14757.91575
2025-11-01,NO5,WIND,0.0,0.0
2025-11-02,NO1,HYDRO,62186032.5,2591084.6875
2025-11-02,NO1,OTHER,4039.249,168.30204166666667
2025-11-02,NO1,SOLAR,60206.001,2508.5833749999997
2025-11-02,NO1,THERMAL,356978.512,14874.104666666666
2025-11-02,NO1,WIND,2398811.842,99950.49341666668
2025-11-02,NO2,HYDRO,128002797.5,5333449.895833333
2025-11-02,NO2,OTHER,2349.925,97.91354166666667
2025-11-02,NO2,SOLAR,56532.43,2355.5179166666667
2025-11-02,NO2,THERMAL,347049.533,14460.397208333334
2025-11-02,NO2,WIND,10246386.96,426932.79000000004
2025-11-02,NO3,HYDRO,65237710.9,2718237.9541666666
2025-11-02,NO3,OTHER,1705.144,71.04766666666667
2025-11-02,NO3,SOLAR,7556.201,314.8417083333333
2025-11-02,NO3,THERMAL,408551.39999999997,17022.975
2025-11-02,NO3,WIND,15318028.29,638251.17875
2025-11-02,NO4,HYDRO,75855680.2,3160653.341666667
2025-11-02,NO4,OTHER,790.196,32.92483333333333
2025-11-02,NO4,SOLAR,26.01,1.08375
2025-11-02,NO4,THERMAL,5657316.0,235721.5
2025-11-02,NO4,WIND,12598148.69,524922.8620833333
2025-11-02,NO5,*,0.331,0.013791666666666667
2025-11-02,NO5,HYDRO,79017887.4,3292411.975
2025-11-02,NO5,OTHER,57.66,2.4025
2025-11-02,NO5,SOLAR,6046.816,251.95066666666665
2025-11-02,NO5,THERMAL,358956.464,14956.519333333332
2025-11-02,NO5,WIND,1.204,0.050166666666666665
2025-11-03,NO1,HYDRO,58155106.5,2423129.4375
2025-11-03,NO1,OTHER,5669.292,236.22050000000002
2025-11-03,NO1,SOLAR,78898.318,3287.4299166666665
2025-11-03,NO1,THERMAL,372664.303,15527.679291666667
2025-11-03,NO1,WIND,3958770.867,164948.786125
2025-11-03,NO2,HYDRO,118322313.9,4930096.412500001
2025-11-03,NO2,OTHER,1744.975,72.70729166666666
2025-11-03,NO2,SOLAR,40393.129,1683.0470416666667
2025-11-03,NO2,THERMAL,382581.684,15940.9035
2025-11-03,NO2,WIND,16559205.73,689966.9054166666
2025-11-03,NO3,HYDRO,52411162.9,2183798.4541666666
2025-11-03,NO3,OTHER,2171.899,90.49579166666666
2025-11-03,NO3,SOLAR,7953.342000000001,331.38925
2025-11-03,NO3,THERMAL,490365.76,20431.906666666666
2025-11-03,NO3,WIND,25254713.45,1052279.7270833333
2025-11-03,NO4,HYDRO,73075838.7,3044826.6125000003
2025-11-03,NO4,OTHER,766.26,31.9275
2025-11-03,NO4,SOLAR,66.606,2.7752499999999998
2025-11-03,NO4,THERMAL,5652714.0,235529.75
2025-11-03,NO4,WIND,7599763.4399999995,316656.81
2025-11-03,NO5,*,0.214,0.008916666666666666
2025-11-03,NO5,HYDRO,76371490.0,3182145.4166666665
2025-11-03,NO5,OTHER,82.878,3.45325
2025-11-03,NO5,SOLAR,5535.469,230.64454166666667
2025-11-03,NO5,THERMAL,343648.014,14318.66725
2025-11-03,NO5,WIND,0.9699999999999999,0.04041666666666666
2025-11-04,NO1,HYDRO,56948192.3,2372841.345833333
2025-11-04,NO1,OTHER,4972.005,207.166875
2025-11-04,NO1,SOLAR,55257.333,2302.388875
2025-11-04,NO1,THERMAL,338671.091,14111.295458333334
2025-11-04,NO1,WIND,6038596.51,251608.18791666665
2025-11-04,NO2,HYDRO,99281814.2,4136742.2583333333
2025-11-04,NO2,OTHER,2031.7920000000001,84.658
2025-11-04,NO2,SOLAR,31494.971999999998,1312.2904999999998
2025-11-04,NO2,THERMAL,363111.998,15129.666583333334
2025-11-04,NO2,WIND,19780901.17,824204.2154166667
2025-11-04,NO3,HYDRO,47456282.35,1977345.0979166667
2025-11-04,NO3,OTHER,1539.338,64.13908333333333
2025-11-04,NO3,SOLAR,3438.546,143.27275
2025-11-04,NO3,THERMAL,506229.1,21092.879166666666
2025-11-04,NO3,WIND,29312262.54,1221344.2725
2025-11-04,NO4,HYDRO,68340769.2,2847532.0500000003
2025-11-04,NO4,OTHER,418.016,17.417333333333335
2025-11-04,NO4,SOLAR,15.054,0.62725
2025-11-04,NO4,THERMAL,4971998.0,207166.58333333334
2025-11-04,NO4,WIND,14924990.44,621874.6016666667
2025-11-04,NO5,*,0.08,0.0033333333333333335
2025-11-04,NO5,HYDRO,64534962.9,2688956.7875
2025-11-04,NO5,OTHER,17.561,0.7317083333333333
2025-11-04,NO5,SOLAR,3338.288,139.09533333333334
2025-11-04,NO5,THERMAL,332566.515,13856.938125
2025-11-04,NO5,WIND,0.568,0.023666666666666666
2025-11-05,NO1,HYDRO,58210581.6,2425440.9
2025-11-05,NO1,OTHER,520.702,21.695916666666665
2025-11-05,NO1,SOLAR,44315.695,1846.4872916666666
2025-11-05,NO1,THERMAL,328930.897,13705.454041666666
2025-11-05,NO1,WIND,3997187.643,166549.485125
2025-11-05,NO2,HYDRO,130444503.7,5435187.654166667
2025-11-05,NO2,OTHER,1436.598,59.85825
2025-11-05,NO2,SOLAR,11328.492,472.0205
2025-11-05,NO2,THERMAL,363033.916,15126.413166666667
2025-11-05,NO2,WIND,7245135.49,301880.6454166667
2025-11-05,NO3,HYDRO,52535093.9,2188962.245833333
2025-11-05,NO3,OTHER,604.704,25.195999999999998
2025-11-05,NO3,SOLAR,2391.663,99.652625
2025-11-05,NO3,THERMAL,528488.14,22020.33916666667
2025-11-05,NO3,WIND,27979418.76,1165809.115
2025-11-05,NO4,HYDRO,75485737.7,3145239.0708333333
2025-11-05,NO4,OTHER,503.032,20.959666666666667
2025-11-05,NO4,SOLAR,18.321,0.763375
2025-11-05,NO4,THERMAL,4672509.0,194687.875
2025-11-05,NO4,WIND,14613164.47,608881.8529166667
2025-11-05,NO5,*,0.063,0.002625
2025-11-05,NO5,HYDRO,79167606.6,3298650.275
2025-11-05,NO5,OTHER,190.346,7.9310833333333335
